job_role,company_name,company_type,knowledge,skills,knowledge_cleaned,skills_cleaned,combined_features
Full-Stack Developer - Javascript/Go,SAP Labs,GCC,"Cloud service development and operation, JavaScript, Golang, Microsoft Azure, Amazon Web Services (AWS), Google Cloud Platform (GCP), Cassandra database, Kubernetes, Docker, network configuration for software solutions.","Proficiency in cloud development languages (JavaScript, Golang), managing and deploying cloud services, experience with cloud platforms (Azure, AWS, GCP), application development with Cassandra, containerization using Kubernetes and Docker, and managing network configurations for software solutions. Strong communication skills (spoken and written), collaborative team player with a proactive attitude to learn new technologies and improve the service.",cloud service development operation javascript golang microsoft azure amazon web services aws google cloud platform gcp cassandra database kubernetes docker network configuration software solutions,proficiency cloud development languages javascript golang managing deploying cloud services experience cloud platforms azure aws gcp application development cassandra containerization using kubernetes docker managing network configurations software solutions strong communication skills spoken written collaborative team player proactive attitude learn new technologies improve service,Full-Stack Developer - Javascript/Go GCC cloud service development operation javascript golang microsoft azure amazon web services aws google cloud platform gcp cassandra database kubernetes docker network configuration software solutions proficiency cloud development languages javascript golang managing deploying cloud services experience cloud platforms azure aws gcp application development cassandra containerization using kubernetes docker managing network configurations software solutions strong communication skills spoken written collaborative team player proactive attitude learn new technologies improve service
Software Engineer II - Opics Application Developer,JP Morgan Chase,GCC,"Software engineering concepts, system design, application development, testing, operational stability, software development life cycle (SDLC), agile methodologies (CI/CD, Applicant Resiliency, Security), cloud technologies, artificial intelligence, machine learning, mobile applications, modern front-end technologies.","Proficiency in one or more programming languages, experience in developing, debugging, and maintaining code in a large corporate environment, strong understanding of agile methodologies, application resiliency, and security best practices. Familiarity with cloud technologies and front-end development tools, with a demonstrated ability to apply software engineering principles in practical settings.",software engineering concepts system design application development testing operational stability software development life cycle sdlc agile methodologies cicd applicant resiliency security cloud technologies artificial intelligence machine learning mobile applications modern frontend technologies,proficiency one programming languages experience developing debugging maintaining code large corporate environment strong understanding agile methodologies application resiliency security best practices familiarity cloud technologies frontend development tools demonstrated ability apply software engineering principles practical settings,Software Engineer II - Opics Application Developer GCC software engineering concepts system design application development testing operational stability software development life cycle sdlc agile methodologies cicd applicant resiliency security cloud technologies artificial intelligence machine learning mobile applications modern frontend technologies proficiency one programming languages experience developing debugging maintaining code large corporate environment strong understanding agile methodologies application resiliency security best practices familiarity cloud technologies frontend development tools demonstrated ability apply software engineering principles practical settings
Software Engineer II - Java AWS Developer,JP Morgan Chase,GCC,"Software engineering concepts, Linux environment, Service Oriented Architecture (SOA), REST APIs, Core Java (5+), Spring framework (Boot, Integration, DI, Security, WS), Kafka, MQ, messaging platforms, backend infrastructure (load balancing, autoscaling), log analytic tools (ELK, Splunk), Cloud technologies, NoSQL databases (Cassandra), AWS, Kubernetes","Experience in development within a Linux environment, strong expertise in Core Java and the Spring framework, working with messaging platforms like Kafka, managing backend infrastructure, utilizing log analytic tools, and applying cloud technologies. Effective communication skills, both written and oral, and familiarity with NoSQL databases, AWS cloud, and deploying to Kubernetes.",software engineering concepts linux environment service oriented architecture soa rest apis core java 5 spring framework boot integration di security ws kafka mq messaging platforms backend infrastructure load balancing autoscaling log analytic tools elk splunk cloud technologies nosql databases cassandra aws kubernetes,experience development within linux environment strong expertise core java spring framework working messaging platforms like kafka managing backend infrastructure utilizing log analytic tools applying cloud technologies effective communication skills written oral familiarity nosql databases aws cloud deploying kubernetes,Software Engineer II - Java AWS Developer GCC software engineering concepts linux environment service oriented architecture soa rest apis core java 5 spring framework boot integration di security ws kafka mq messaging platforms backend infrastructure load balancing autoscaling log analytic tools elk splunk cloud technologies nosql databases cassandra aws kubernetes experience development within linux environment strong expertise core java spring framework working messaging platforms like kafka managing backend infrastructure utilizing log analytic tools applying cloud technologies effective communication skills written oral familiarity nosql databases aws cloud deploying kubernetes
Software Engineer III-Mainframe Developer,JP Morgan Chase,GCC,"Software engineering concepts, system design, application development, testing, operational stability, COBOL, JCL, DB2/IMS, VSAM, CICS, NATURAL, ADABAS, Core Java, Spring frameworks, REST API, Cloud, Microservices, AngularJS, Bootstrap, React, web technologies, business analysis, Software Development Life Cycle (SDLC), agile methodologies (CI/CD, Application Resiliency, Security), industry technology trends, payments background (SWIFT-ISO MX, MT), IntelliJ/Eclipse, Maven, BitBucket/Git/Gitflow, Spring Batch, Spring Boot, MVC, Spring Cloud.","Proficiency in COBOL, JCL, DB2/IMS, and modern programming languages such as Core Java with Spring frameworks and web technologies like React and AngularJS. Strong understanding of the SDLC and agile methodologies, with expertise in developing, debugging, and maintaining software in a large corporate environment. Experience with various development and build tools, and familiarity with payments technology (SWIFT, ISO MX, MT).",software engineering concepts system design application development testing operational stability cobol jcl db2ims vsam cics natural adabas core java spring frameworks rest api cloud microservices angularjs bootstrap react web technologies business analysis software development life cycle sdlc agile methodologies cicd application resiliency security industry technology trends payments background swiftiso mx mt intellijeclipse maven bitbucketgitgitflow spring batch spring boot mvc spring cloud,proficiency cobol jcl db2ims modern programming languages core java spring frameworks web technologies like react angularjs strong understanding sdlc agile methodologies expertise developing debugging maintaining software large corporate environment experience various development build tools familiarity payments technology swift iso mx mt,Software Engineer III-Mainframe Developer GCC software engineering concepts system design application development testing operational stability cobol jcl db2ims vsam cics natural adabas core java spring frameworks rest api cloud microservices angularjs bootstrap react web technologies business analysis software development life cycle sdlc agile methodologies cicd application resiliency security industry technology trends payments background swiftiso mx mt intellijeclipse maven bitbucketgitgitflow spring batch spring boot mvc spring cloud proficiency cobol jcl db2ims modern programming languages core java spring frameworks web technologies like react angularjs strong understanding sdlc agile methodologies expertise developing debugging maintaining software large corporate environment experience various development build tools familiarity payments technology swift iso mx mt
Senior Software Engineer 3,PayPal,GCC,"Computer Science or related field, React.js, Python, design patterns, web services (REST/JSON), Unix-based development environment, AWS, automation testing, multi-tier software applications, business requirements, scrum methodologies, software documentation, strategic and tactical processes.","Expertise in React.js and Python development, designing and implementing multi-tier applications, delivering end-to-end solutions, and working with AWS environments. Strong understanding of web services standards, automation testing (with or without mock data), and experience in owning deliverables within a scrum team. Ability to work independently and collaborate with cross-functional teams to create business-aligned solutions. Demonstrated thought leadership in solving complex business and technical challenges.",computer science related field reactjs python design patterns web services restjson unixbased development environment aws automation testing multitier software applications business requirements scrum methodologies software documentation strategic tactical processes,expertise reactjs python development designing implementing multitier applications delivering endtoend solutions working aws environments strong understanding web services standards automation testing without mock data experience owning deliverables within scrum team ability work independently collaborate crossfunctional teams create businessaligned solutions demonstrated thought leadership solving complex business technical challenges,Senior Software Engineer 3 GCC computer science related field reactjs python design patterns web services restjson unixbased development environment aws automation testing multitier software applications business requirements scrum methodologies software documentation strategic tactical processes expertise reactjs python development designing implementing multitier applications delivering endtoend solutions working aws environments strong understanding web services standards automation testing without mock data experience owning deliverables within scrum team ability work independently collaborate crossfunctional teams create businessaligned solutions demonstrated thought leadership solving complex business technical challenges
"MTS 2, Software Engineer",PayPal,GCC,"Computer Science or related field, Java, Spring Core, Spring Batch, SQL/NoSQL technologies, relational and free-form databases, data architecture, SQL/PL-SQL development, JavaScript/TypeScript/ES6+, client-side JavaScript frameworks (React.js, Angular.js), HTML, CSS, Webpack, Bootstrap, Node.js, RESTful APIs, JSON, version control systems (GIT), Object-Oriented Programming (OOP), Object-Oriented Design (OOD), Functional Programming, concurrency, parallelism, networking, data structures, algorithms.","Extensive experience in designing and developing large-scale software applications, expertise in Java and Spring frameworks, proficiency in both client-side and server-side JavaScript, experience in web frontend technologies, API integration, and version control systems. Strong passion for mentoring, quality assurance, and staying updated with new technologies. Hands-on experience with UI design, disciplined approach to testing, and analytical problem-solving skills. Ability to apply programming paradigms (OOP, OOD, Functional) and deeply understand concurrency, parallelism, and networking.",computer science related field java spring core spring batch sqlnosql technologies relational freeform databases data architecture sqlplsql development javascripttypescriptes6 clientside javascript frameworks reactjs angularjs html css webpack bootstrap nodejs restful apis json version control systems git objectoriented programming oop objectoriented design ood functional programming concurrency parallelism networking data structures algorithms,extensive experience designing developing largescale software applications expertise java spring frameworks proficiency clientside serverside javascript experience web frontend technologies api integration version control systems strong passion mentoring quality assurance staying updated new technologies handson experience ui design disciplined approach testing analytical problemsolving skills ability apply programming paradigms oop ood functional deeply understand concurrency parallelism networking,"MTS 2, Software Engineer GCC computer science related field java spring core spring batch sqlnosql technologies relational freeform databases data architecture sqlplsql development javascripttypescriptes6 clientside javascript frameworks reactjs angularjs html css webpack bootstrap nodejs restful apis json version control systems git objectoriented programming oop objectoriented design ood functional programming concurrency parallelism networking data structures algorithms extensive experience designing developing largescale software applications expertise java spring frameworks proficiency clientside serverside javascript experience web frontend technologies api integration version control systems strong passion mentoring quality assurance staying updated new technologies handson experience ui design disciplined approach testing analytical problemsolving skills ability apply programming paradigms oop ood functional deeply understand concurrency parallelism networking"
Senior Software Engineer- Java,PayPal,GCC,"Java EE technologies (Java, application servers, servlet containers, JMS, JPA), OOP principles, SQL, NoSQL, modern database/storage technologies, Oracle, JDBC, ORM frameworks (e.g., Hibernate), HTTP, REST APIs, web services, microservices, Design Patterns, MVC, Spring framework, software engineering tools, unit testing, test automation, continuous integration, continuous deployment, Computer Science fundamentals.","Proficient in building and maintaining production software systems, back-end development with Java EE, and strong ability to translate requirements into scalable software designs. Experienced in designing web services/microservices, applying design patterns, and ensuring reliability, scalability, and performance. Knowledgeable in SQL/NoSQL databases and ORM frameworks, and committed to best practices like code craftsmanship, unit testing, and continuous integration/deployment. Strong verbal and written communication skills, with a passion for technology, problem-solving, and striving for excellence.",java ee technologies java application servers servlet containers jms jpa oop principles sql nosql modern databasestorage technologies oracle jdbc orm frameworks eg hibernate http rest apis web services microservices design patterns mvc spring framework software engineering tools unit testing test automation continuous integration continuous deployment computer science fundamentals,proficient building maintaining production software systems backend development java ee strong ability translate requirements scalable software designs experienced designing web servicesmicroservices applying design patterns ensuring reliability scalability performance knowledgeable sqlnosql databases orm frameworks committed best practices like code craftsmanship unit testing continuous integrationdeployment strong verbal written communication skills passion technology problemsolving striving excellence,Senior Software Engineer- Java GCC java ee technologies java application servers servlet containers jms jpa oop principles sql nosql modern databasestorage technologies oracle jdbc orm frameworks eg hibernate http rest apis web services microservices design patterns mvc spring framework software engineering tools unit testing test automation continuous integration continuous deployment computer science fundamentals proficient building maintaining production software systems backend development java ee strong ability translate requirements scalable software designs experienced designing web servicesmicroservices applying design patterns ensuring reliability scalability performance knowledgeable sqlnosql databases orm frameworks committed best practices like code craftsmanship unit testing continuous integrationdeployment strong verbal written communication skills passion technology problemsolving striving excellence
Software Engineer - Sr. Consultant,Visa,GCC,"AngularJS, React, Java, Microservices, Kafka, RDBMS, Enterprise Architecture, AI/ML concepts, Performance engineering, high availability systems, container-based architecture (Docker, Kubernetes), elastic scalability architectural patterns, web services, REST, security standards and trends, enterprise integration, Agile methodologies.","Proven ability to define needs, develop plans, coordinate resources, and implement action plans. Strong leadership skills, demonstrated ability to manage multiple projects, resolve conflicts, and meet deadlines. Expertise in building scalable, high-performance web applications and managing cloud-based architectures. Proficient in security requirements, identifying risks, and applying best practices. Experience in mentoring engineers, fostering team collaboration, and influencing cross-functional teams. Exceptional communication skills, both verbal and written, for engaging with technical and non-technical audiences. Focus on building an efficient, results-driven team environment with an emphasis on career development.",angularjs react java microservices kafka rdbms enterprise architecture aiml concepts performance engineering high availability systems containerbased architecture docker kubernetes elastic scalability architectural patterns web services rest security standards trends enterprise integration agile methodologies,proven ability define needs develop plans coordinate resources implement action plans strong leadership skills demonstrated ability manage multiple projects resolve conflicts meet deadlines expertise building scalable highperformance web applications managing cloudbased architectures proficient security requirements identifying risks applying best practices experience mentoring engineers fostering team collaboration influencing crossfunctional teams exceptional communication skills verbal written engaging technical nontechnical audiences focus building efficient resultsdriven team environment emphasis career development,Software Engineer - Sr. Consultant GCC angularjs react java microservices kafka rdbms enterprise architecture aiml concepts performance engineering high availability systems containerbased architecture docker kubernetes elastic scalability architectural patterns web services rest security standards trends enterprise integration agile methodologies proven ability define needs develop plans coordinate resources implement action plans strong leadership skills demonstrated ability manage multiple projects resolve conflicts meet deadlines expertise building scalable highperformance web applications managing cloudbased architectures proficient security requirements identifying risks applying best practices experience mentoring engineers fostering team collaboration influencing crossfunctional teams exceptional communication skills verbal written engaging technical nontechnical audiences focus building efficient resultsdriven team environment emphasis career development
SW Engineer,Visa,GCC,"Web applications, web services, Java, JavaScript, J2EE, XML, unit testing, shell scripting, RDBMS, Cassandra, Solr, NoSQL, Continuous Integration, Code/Test coverage, development methodologies.","Strong technical competency in coding and testing, hands-on experience with Java, JavaScript, and web technologies. Proficient in unit testing and shell scripting, with familiarity in RDBMS and NoSQL databases like Cassandra and Solr. Experience with Continuous Integration and code/test coverage practices. Ability to work effectively across teams, with proactive communication and collaboration skills.",web applications web services java javascript j2ee xml unit testing shell scripting rdbms cassandra solr nosql continuous integration codetest coverage development methodologies,strong technical competency coding testing handson experience java javascript web technologies proficient unit testing shell scripting familiarity rdbms nosql databases like cassandra solr experience continuous integration codetest coverage practices ability work effectively across teams proactive communication collaboration skills,SW Engineer GCC web applications web services java javascript j2ee xml unit testing shell scripting rdbms cassandra solr nosql continuous integration codetest coverage development methodologies strong technical competency coding testing handson experience java javascript web technologies proficient unit testing shell scripting familiarity rdbms nosql databases like cassandra solr experience continuous integration codetest coverage practices ability work effectively across teams proactive communication collaboration skills
Staff SW Engineer - Mainframe Testing,Visa,GCC,"SDLC methodologies (Agile, Waterfall, Iterative/Incremental, Hybrid), Mainframe technologies (TSO, MVS JCL, ISPF, COBOL, SQL, DB2), automation tools, tool development (ISPF, CLIST, REXX), test strategy development, test planning, test design, general-purpose programming languages (C/C++, Java), Linux platforms, microservices, Visa's products and payment systems, CI/CD tools (Jenkins, Git).","Strong experience in Mainframe and automation tools, developing and implementing test strategies, planning and designing tests. Proficient in multiple programming languages (C/C++, Java) and working with modern technology stacks (Linux, microservices). Demonstrated strong analytical, problem-solving, and communication skills, both oral and written. Ability to collaborate effectively with teams in a high-performance environment, with a focus on delivering high-quality results.",sdlc methodologies agile waterfall iterativeincremental hybrid mainframe technologies tso mvs jcl ispf cobol sql db2 automation tools tool development ispf clist rexx test strategy development test planning test design generalpurpose programming languages cc java linux platforms microservices visas products payment systems cicd tools jenkins git,strong experience mainframe automation tools developing implementing test strategies planning designing tests proficient multiple programming languages cc java working modern technology stacks linux microservices demonstrated strong analytical problemsolving communication skills oral written ability collaborate effectively teams highperformance environment focus delivering highquality results,Staff SW Engineer - Mainframe Testing GCC sdlc methodologies agile waterfall iterativeincremental hybrid mainframe technologies tso mvs jcl ispf cobol sql db2 automation tools tool development ispf clist rexx test strategy development test planning test design generalpurpose programming languages cc java linux platforms microservices visas products payment systems cicd tools jenkins git strong experience mainframe automation tools developing implementing test strategies planning designing tests proficient multiple programming languages cc java working modern technology stacks linux microservices demonstrated strong analytical problemsolving communication skills oral written ability collaborate effectively teams highperformance environment focus delivering highquality results
Associate Engineer - SmartPlant Electrical,Shell,GCC,"Electrical/instrumentation design, engineering best practices, 2D and 3D electrical detailing, SmartPlant tools, P&IDs, industry standards, and experience in Oil & Gas or Power sectors.","Proficiency in AutoCAD, Microstation, SPI, SPEL, PC applications, engineering analysis, problem-solving, and strong communication skills.",electricalinstrumentation design engineering best practices 2d 3d electrical detailing smartplant tools pids industry standards experience oil gas power sectors,proficiency autocad microstation spi spel pc applications engineering analysis problemsolving strong communication skills,Associate Engineer - SmartPlant Electrical GCC electricalinstrumentation design engineering best practices 2d 3d electrical detailing smartplant tools pids industry standards experience oil gas power sectors proficiency autocad microstation spi spel pc applications engineering analysis problemsolving strong communication skills
Senior Software Engineer - ETRM,Shell,GCC,"ETRM systems, Openlink Endur (v14+), Endur data model, Simulation Results, JVS scripting, memory management, Azure DevOps tools, software engineering processes, CI/CD, dependency injection, test-driven development, commodity knowledge (Power, Natural Gas, LNG, NGL), and business process optimization.","Endur JVS/OC JAVA/.Net coding, software development using Java, SQL, Python, C#, ASP.Net, report design and development, version control using GIT, experience in application support and development, and experience with Databricks and Crystal Reports.",etrm systems openlink endur v14 endur data model simulation results jvs scripting memory management azure devops tools software engineering processes cicd dependency injection testdriven development commodity knowledge power natural gas lng ngl business process optimization,endur jvsoc javanet coding software development using java sql python c aspnet report design development version control using git experience application support development experience databricks crystal reports,Senior Software Engineer - ETRM GCC etrm systems openlink endur v14 endur data model simulation results jvs scripting memory management azure devops tools software engineering processes cicd dependency injection testdriven development commodity knowledge power natural gas lng ngl business process optimization endur jvsoc javanet coding software development using java sql python c aspnet report design development version control using git experience application support development experience databricks crystal reports
Functional Analyst - S/4 Group Reporting,Shell,GCC,"Finance, reporting & consolidation, SAP FI, S/4 Group Reporting, Group Reporting Data Collection (GRDC), SAP Analytics Cloud (SAC), ledger concepts, integration of FI and group reporting, IT project management, agile methodologies, IT security, and compliance.","Expertise in general ledger, SAP S/4 Group Reporting implementation, guidance on data monitor and consolidation monitor activities, project delivery methodologies, excellent written and spoken communication skills, multitasking, and prioritization.",finance reporting consolidation sap fi s4 group reporting group reporting data collection grdc sap analytics cloud sac ledger concepts integration fi group reporting project management agile methodologies security compliance,expertise general ledger sap s4 group reporting implementation guidance data monitor consolidation monitor activities project delivery methodologies excellent written spoken communication skills multitasking prioritization,Functional Analyst - S/4 Group Reporting GCC finance reporting consolidation sap fi s4 group reporting group reporting data collection grdc sap analytics cloud sac ledger concepts integration fi group reporting project management agile methodologies security compliance expertise general ledger sap s4 group reporting implementation guidance data monitor consolidation monitor activities project delivery methodologies excellent written spoken communication skills multitasking prioritization
SOFTWARE ENGINEER III -Full Stack Developer,Walmart Global Tech,GCC,"Java 8, Spring Boot, Microservices, cloud platforms (GCP, Azure), web/mobile development, SQL/NoSQL databases, metadata-driven development, TDD, CI/CD, containerization, Agile methodologies.","Proficiency in Java, Spring Boot, microservices architecture, web development (HTML, CSS, JavaScript, TypeScript, React), SQL/NoSQL database management, unit testing, Git, Maven, Jenkins, Azure, risk management, team leadership, problem-solving, critical thinking, and strong communication.",java 8 spring boot microservices cloud platforms gcp azure webmobile development sqlnosql databases metadatadriven development tdd cicd containerization agile methodologies,proficiency java spring boot microservices architecture web development html css javascript typescript react sqlnosql database management unit testing git maven jenkins azure risk management team leadership problemsolving critical thinking strong communication,SOFTWARE ENGINEER III -Full Stack Developer GCC java 8 spring boot microservices cloud platforms gcp azure webmobile development sqlnosql databases metadatadriven development tdd cicd containerization agile methodologies proficiency java spring boot microservices architecture web development html css javascript typescript react sqlnosql database management unit testing git maven jenkins azure risk management team leadership problemsolving critical thinking strong communication
"(IND) STAFF, SOFTWARE ENGINEER",Walmart Global Tech,GCC,"Architecture, design, development, distributed systems, microservices, Java, J2EE, Kafka, Spark, Scala, Big Data, CS fundamentals, data structures, algorithms, multi-threading, functional programming.","Scalable solution design, development of high-performance systems, mentoring engineers, exposure to open-source technologies and public clouds, collaboration with cross-functional teams, presenting ideas to large organizations, fostering team culture, problem-solving, and system optimization.",architecture design development distributed systems microservices java j2ee kafka spark scala big data cs fundamentals data structures algorithms multithreading functional programming,scalable solution design development highperformance systems mentoring engineers exposure opensource technologies public clouds collaboration crossfunctional teams presenting ideas large organizations fostering team culture problemsolving system optimization,"(IND) STAFF, SOFTWARE ENGINEER GCC architecture design development distributed systems microservices java j2ee kafka spark scala big data cs fundamentals data structures algorithms multithreading functional programming scalable solution design development highperformance systems mentoring engineers exposure opensource technologies public clouds collaboration crossfunctional teams presenting ideas large organizations fostering team culture problemsolving system optimization"
Software Engineer III (Android Developer),Walmart Global Tech,GCC,"Mobile development, Android SDK, SQLite, Kotlin, Coroutines, XML-JSON parsing, REST APIs, offline storage, threading, performance tuning, cloud message APIs, push notifications, UI design principles, scalability, fault tolerance, cloud infrastructure (AWS, GCP, Azure, Open Stack), data structures, algorithms, information retrieval, statistics, machine learning.","Mobile-first design, responsive coding, deep integration with platforms, communication, and interpersonal skills, optimizing systems and tools, problem-solving, large-scale distributed systems, exposure to machine learning, continuous learning and improvement, effective UI/UX design.",mobile development android sdk sqlite kotlin coroutines xmljson parsing rest apis offline storage threading performance tuning cloud message apis push notifications ui design principles scalability fault tolerance cloud infrastructure aws gcp azure open stack data structures algorithms information retrieval statistics machine learning,mobilefirst design responsive coding deep integration platforms communication interpersonal skills optimizing systems tools problemsolving largescale distributed systems exposure machine learning continuous learning improvement effective uiux design,Software Engineer III (Android Developer) GCC mobile development android sdk sqlite kotlin coroutines xmljson parsing rest apis offline storage threading performance tuning cloud message apis push notifications ui design principles scalability fault tolerance cloud infrastructure aws gcp azure open stack data structures algorithms information retrieval statistics machine learning mobilefirst design responsive coding deep integration platforms communication interpersonal skills optimizing systems tools problemsolving largescale distributed systems exposure machine learning continuous learning improvement effective uiux design
"IT Software Developer, Staff (Java Fullstack)",Qualcomm,GCC,"Full-stack application development, data structures, cloud engineering, distributed systems, project financial management, senior leadership interaction, software engineering best practices.","Proficiency in full-stack development, data structure design, cloud application development, managing project finances, communicating with senior leadership, technical leadership in a matrixed environment.",fullstack application development data structures cloud engineering distributed systems project financial management senior leadership interaction software engineering best practices,proficiency fullstack development data structure design cloud application development managing project finances communicating senior leadership technical leadership matrixed environment,"IT Software Developer, Staff (Java Fullstack) GCC fullstack application development data structures cloud engineering distributed systems project financial management senior leadership interaction software engineering best practices proficiency fullstack development data structure design cloud application development managing project finances communicating senior leadership technical leadership matrixed environment"
"Fullstack Developer with experience in Python, React and Mongo DB",Qualcomm,GCC,"Python, Flask/FAST APIs, object-oriented design, data structures, algorithms, problem-solving, JavaScript, TypeScript, Angular 10+, HTML5, CSS, SAAS/LESS, D3, Highcharts, Linux systems, DevOps environments, Flask/Django, NodeJS, agile development, full-stack apps, reusable code, best practices, design patterns, enterprise systems, NoSQL databases (Mongo/Redis), cloud providers (AWS, Azure, GCP), microservice architecture, Docker, Kubernetes, cloud-native architecture, distributed systems, fault-tolerant applications.","Frontend development frameworks, API development, responsive design, coding standards, troubleshooting, cloud-native implementation, multi-tasking, fast-paced environments, task ownership, system administration, collaboration, design and implementation of enterprise-level applications, experience with Angular upgrades, cloud application management.",python flaskfast apis objectoriented design data structures algorithms problemsolving javascript typescript angular 10 html5 css saasless d3 highcharts linux systems devops environments flaskdjango nodejs agile development fullstack apps reusable code best practices design patterns enterprise systems nosql databases mongoredis cloud providers aws azure gcp microservice architecture docker kubernetes cloudnative architecture distributed systems faulttolerant applications,frontend development frameworks api development responsive design coding standards troubleshooting cloudnative implementation multitasking fastpaced environments task ownership system administration collaboration design implementation enterpriselevel applications experience angular upgrades cloud application management,"Fullstack Developer with experience in Python, React and Mongo DB GCC python flaskfast apis objectoriented design data structures algorithms problemsolving javascript typescript angular 10 html5 css saasless d3 highcharts linux systems devops environments flaskdjango nodejs agile development fullstack apps reusable code best practices design patterns enterprise systems nosql databases mongoredis cloud providers aws azure gcp microservice architecture docker kubernetes cloudnative architecture distributed systems faulttolerant applications frontend development frameworks api development responsive design coding standards troubleshooting cloudnative implementation multitasking fastpaced environments task ownership system administration collaboration design implementation enterpriselevel applications experience angular upgrades cloud application management"
Senior Programmer/Developer,Qualcomm,GCC,"MongoDB, MySQL, Java 8, Spring, test-driven development, unit testing, data object models, ORM persistence layers, SQL databases, SOAP, REST web services, AngularJS, Node.js, React, DevOps, Agile methodology, debugging, problem-solving, continuous integration, continuous development tools (Docker, Jenkins, Kubernetes, Drekar), identity provisioning, lifecycle and governance using IAM technologies, Saviynt (optional), Groovy or Python programming, monitoring and analytics tools (Datadog, Splunk), Splunk queries.","Database design, Java/Spring development, web services, front-end technologies (Angular, Node.js, React), agile teamwork, continuous integration tools, troubleshooting, problem resolution, collaboration with project managers/business analysts, IAM implementation, after-hours support, use of monitoring tools, scripting, and automation.",mongodb mysql java 8 spring testdriven development unit testing data object models orm persistence layers sql databases soap rest web services angularjs nodejs react devops agile methodology debugging problemsolving continuous integration continuous development tools docker jenkins kubernetes drekar identity provisioning lifecycle governance using iam technologies saviynt optional groovy python programming monitoring analytics tools datadog splunk splunk queries,database design javaspring development web services frontend technologies angular nodejs react agile teamwork continuous integration tools troubleshooting problem resolution collaboration project managersbusiness analysts iam implementation afterhours support use monitoring tools scripting automation,Senior Programmer/Developer GCC mongodb mysql java 8 spring testdriven development unit testing data object models orm persistence layers sql databases soap rest web services angularjs nodejs react devops agile methodology debugging problemsolving continuous integration continuous development tools docker jenkins kubernetes drekar identity provisioning lifecycle governance using iam technologies saviynt optional groovy python programming monitoring analytics tools datadog splunk splunk queries database design javaspring development web services frontend technologies angular nodejs react agile teamwork continuous integration tools troubleshooting problem resolution collaboration project managersbusiness analysts iam implementation afterhours support use monitoring tools scripting automation
JAVA Blockchain Developer/Consultant Specialist,HSBC,GCC,"Financial services, Java-based applications, RDBMS/NoSQL databases, blockchain technologies, cryptography, JavaScript frameworks, cloud technologies, CI/CD tools, issue tracking, production environments, Agile, and Waterfall methodologies.","Technical analysis, development, DevOps, blockchain development, problem-solving, ownership of tasks, cloud and CI/CD practices, customer service, team leadership, communication, and post-go-live support.",financial services javabased applications rdbmsnosql databases blockchain technologies cryptography javascript frameworks cloud technologies cicd tools issue tracking production environments agile waterfall methodologies,technical analysis development devops blockchain development problemsolving ownership tasks cloud cicd practices customer service team leadership communication postgolive support,JAVA Blockchain Developer/Consultant Specialist GCC financial services javabased applications rdbmsnosql databases blockchain technologies cryptography javascript frameworks cloud technologies cicd tools issue tracking production environments agile waterfall methodologies technical analysis development devops blockchain development problemsolving ownership tasks cloud cicd practices customer service team leadership communication postgolive support
Security Architect/Lead Architect,HSBC,GCC,"Application security, data security, cloud platforms (AWS, Azure, Google), software engineering practices, security design principles, service-oriented architectures, web services security, infrastructure and network security, data protection, incident response, authentication protocols, cryptography, industry standards (PCI DSS, ISO 27xxx, SOC, HIPAA, GDPR, NIST/DoD), enterprise risk management, enterprise networks, and identity access management.","Software design, development, and deployment, leading system architecture, implementing security solutions, managing software development processes, DevOps/DevSecOps, applying security requirements across industries, driving outcomes in large enterprises, and ensuring compliance.",application security data security cloud platforms aws azure google software engineering practices security design principles serviceoriented architectures web services security infrastructure network security data protection incident response authentication protocols cryptography industry standards pci dss iso 27xxx soc hipaa gdpr nistdod enterprise risk management enterprise networks identity access management,software design development deployment leading system architecture implementing security solutions managing software development processes devopsdevsecops applying security requirements across industries driving outcomes large enterprises ensuring compliance,Security Architect/Lead Architect GCC application security data security cloud platforms aws azure google software engineering practices security design principles serviceoriented architectures web services security infrastructure network security data protection incident response authentication protocols cryptography industry standards pci dss iso 27xxx soc hipaa gdpr nistdod enterprise risk management enterprise networks identity access management software design development deployment leading system architecture implementing security solutions managing software development processes devopsdevsecops applying security requirements across industries driving outcomes large enterprises ensuring compliance
